INGRES TERMINAL MONITOR Copyright 2010 Ingres Corporation
Ingres Microsoft Windows Version II 10.0.0 (int.w32/132) login
Wed Mar 05 17:24:24 2014
Enter \g to execute commands, "help help\g" for help, \q to quit

continue
* * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * * Executing . . .


+-------------+------+-------------+-------------+------+-------------------------+-------------+-------------+------+--------------------------------+-------------+-------------+-------------------------+------+------+-------------+-------------+------------------------+-------------+------+--------------------------------+-------------+------+-------------------------+-------------+-------------+------------------------+-------------+------+--------------------------------+-------------+------+-------------------------+-------------+-------------+--------------------------------+-------------+------+-------------+-------------------------+------+-------------+-------------+-------------+------+------+-------------------------+-------------------------+------+------+-------------+-------------+-----------+
|retrieval_cid|sectio|box_id       |rj_box_cid   |status|time_stamp               |project_cid  |rj_box_cid   |positi|cryovial_barcode                |aliquot_type_|process_cid  |time_stamp               |status|slot_n|project_cid  |box_cid      |barcode                 |box_type_cid |box_ca|external_name                   |process_cid  |status|time_stamp               |project_cid  |box_cid      |barcode                 |box_type_cid |box_ca|external_name                   |process_cid  |status|time_stamp               |cryovial_id  |sample_id    |cryovial_barcode                |aliquot_type_|note_e|process_cid  |time_stamp               |status|record_id    |cryovial_id  |box_cid      |cryovi|tube_p|time_stamp               |removed                  |status|note_e|process_cid  |retrieval_cid|sample_volu|
|      -363636|     1|     -1640910|      4147093|     0|05/03/2014 15:33:46      |      -149662|      4147093|    86|112155733                       |       -31782|      4147091|05/03/2014 15:33:52      |     0|     0|      -149662|     -1640910|112                     |       -44561|     0|Example retrieval box 112       |            0|     2|02/01/2014 13:59:07      |      -149662|      3306009|3306009                 |       -44470|     0|HPS2-THRIVE EDTA_2_nLT 3306009  |     -1127715|     4|26/07/2012 06:34:22      |      3425378|      3297887|112155733                       |       -31782|     0|     -1100790|02/07/2012 11:33:23      |     0|      3389786|      3425378|      3306009|    50|     2|02/07/2012 11:33:23      |                         |     1|     0|     -1100790|      -363636|     -1.000|
|      -363636|     1|     -1640909|      4147092|     0|05/03/2014 15:33:39      |      -149662|      4147092|     5|112155590                       |       -31781|      4147091|05/03/2014 15:33:39      |     0|     4|      -149662|     -1640909|111                     |       -44561|     0|Example retrieval box 111       |            0|     2|02/01/2014 13:59:07      |      -149662|      3305998|3305998                 |       -44471|     0|HPS2-THRIVE EDTA_1_nLT 3305998  |     -1110993|     4|13/07/2012 07:18:07      |      3419759|      3316480|112155590                       |       -31781|     0|     -1100084|29/06/2012 14:36:15      |     0|      3392104|      3419759|      3305998|    50|     3|29/06/2012 14:36:15      |                         |     1|     0|     -1100084|      -363636|     -1.000|
|      -363636|     1|     -1640909|      4147092|     0|05/03/2014 15:33:39      |      -149662|      4147092|     6|112155590                       |       -31782|      4147091|05/03/2014 15:33:39      |     0|     0|      -149662|     -1640909|111                     |       -44561|     0|Example retrieval box 111       |            0|     2|02/01/2014 13:59:07      |      -149662|      3306008|3306008                 |       -44470|     0|HPS2-THRIVE EDTA_2_nLT 3306008  |     -1110993|     4|13/07/2012 07:18:10      |      3419760|      3316481|112155590                       |       -31782|     0|     -1100084|29/06/2012 14:36:15      |     0|      3392095|      3419760|      3306008|    50|     3|29/06/2012 14:36:15      |                         |     1|     0|     -1100084|      -363636|     -1.000|
|      -363636|     1|     -1640910|      4147093|     0|05/03/2014 15:33:46      |      -149662|      4147093|    87|112155737                       |       -31781|      4147091|05/03/2014 15:33:52      |     0|     8|      -149662|     -1640910|112                     |       -44561|     0|Example retrieval box 112       |            0|     2|02/01/2014 13:59:07      |      -149662|      3305999|3305999                 |       -44471|     0|HPS2-THRIVE EDTA_1_nLT 3305999  |     -1127715|     4|26/07/2012 06:34:21      |      3425381|      3309610|112155737                       |       -31781|     0|     -1100790|02/07/2012 11:33:23      |     0|      3389789|      3425381|      3305999|    50|     3|02/07/2012 11:33:23      |                         |     1|     0|     -1100790|      -363636|     -1.000|
|      -363636|     1|     -1640910|      4147093|     0|05/03/2014 15:33:46      |      -149662|      4147093|    88|112155737                       |       -31782|      4147091|05/03/2014 15:33:52      |     0|     0|      -149662|     -1640910|112                     |       -44561|     0|Example retrieval box 112       |            0|     2|02/01/2014 13:59:07      |      -149662|      3306009|3306009                 |       -44470|     0|HPS2-THRIVE EDTA_2_nLT 3306009  |     -1127715|     4|26/07/2012 06:34:22      |      3425382|      3309611|112155737                       |       -31782|     0|     -1100790|02/07/2012 11:33:23      |     0|      3389790|      3425382|      3306009|    50|     3|02/07/2012 11:33:23      |                         |     1|     0|     -1100790|      -363636|     -1.000|
|      -363636|     1|     -1640909|      4147092|     0|05/03/2014 15:33:39      |      -149662|      4147092|     7|112155949                       |       -31781|      4147091|05/03/2014 15:33:39      |     0|     4|      -149662|     -1640909|111                     |       -44561|     0|Example retrieval box 111       |            0|     2|02/01/2014 13:59:07      |      -149662|      3305998|3305998                 |       -44471|     0|HPS2-THRIVE EDTA_1_nLT 3305998  |     -1110993|     4|13/07/2012 07:18:07      |      3419763|      2870954|112155949                       |       -31781|     0|     -1100084|29/06/2012 14:36:15      |     0|      3392092|      3419763|      3305998|    50|     4|29/06/2012 14:36:15      |                         |     1|     0|     -1100084|      -363636|     -1.000|
|      -363636|     1|     -1640909|      4147092|     0|05/03/2014 15:33:39      |      -149662|      4147092|     8|112155949                       |       -31782|      4147091|05/03/2014 15:33:39      |     0|     0|      -149662|     -1640909|111                     |       -44561|     0|Example retrieval box 111       |            0|     2|02/01/2014 13:59:07      |      -149662|      3306008|3306008                 |       -44470|     0|HPS2-THRIVE EDTA_2_nLT 3306008  |     -1110993|     4|13/07/2012 07:18:10      |      3419764|      2870955|112155949                       |       -31782|     0|     -1100084|29/06/2012 14:36:15      |     0|      3392099|      3419764|      3306008|    50|     4|29/06/2012 14:36:15      |                         |     1|     0|     -1100084|      -363636|     -1.000|
|      -363636|     1|     -1640910|      4147093|     0|05/03/2014 15:33:46      |      -149662|      4147093|    89|112155739                       |       -31781|      4147091|05/03/2014 15:33:52      |     0|     8|      -149662|     -1640910|112                     |       -44561|     0|Example retrieval box 112       |            0|     2|02/01/2014 13:59:07      |      -149662|      3305999|3305999                 |       -44471|     0|HPS2-THRIVE EDTA_1_nLT 3305999  |     -1127715|     4|26/07/2012 06:34:21      |      3425385|      3297910|112155739                       |       -31781|     0|     -1100790|02/07/2012 11:33:23      |     0|      3389793|      3425385|      3305999|    50|     4|02/07/2012 11:33:23      |                         |     1|     0|     -1100790|      -363636|     -1.000|
|      -363636|     1|     -1640910|      4147093|     0|05/03/2014 15:33:46      |      -149662|      4147093|    90|112155739                       |       -31782|      4147091|05/03/2014 15:33:52      |     0|     0|      -149662|     -1640910|112                     |       -44561|     0|Example retrieval box 112       |            0|     2|02/01/2014 13:59:07      |      -149662|      3306009|3306009                 |       -44470|     0|HPS2-THRIVE EDTA_2_nLT 3306009  |     -1127715|     4|26/07/2012 06:34:22      |      3425386|      3297911|112155739                       |       -31782|     0|     -1100790|02/07/2012 11:33:23      |     0|      3389794|      3425386|      3306009|    50|     4|02/07/2012 11:33:23      |                         |     1|     0|     -1100790|      -363636|     -1.000|
|      -363636|     1|     -1640909|      4147092|     0|05/03/2014 15:33:39      |      -149662|      4147092|     9|112155557                       |       -31781|      4147091|05/03/2014 15:33:39      |     0|     4|      -149662|     -1640909|111                     |       -44561|     0|Example retrieval box 111       |            0|     2|02/01/2014 13:59:07      |      -149662|      3305998|3305998                 |       -44471|     0|HPS2-THRIVE EDTA_1_nLT 3305998  |     -1110993|     4|13/07/2012 07:18:07      |      3419767|      2870682|112155557                       |       -31781|     0|     -1100084|29/06/2012 14:36:15      |     0|      3392096|      3419767|      3305998|    50|     5|29/06/2012 14:36:15      |                         |     1|     0|     -1100084|      -363636|     -1.000|
